source,hive_object_db_name,hive_object_name,hive_object_s3prefix_data_size_gb,hive_object_classification,hive_object_columns,hive_object_type,hive_object_s3bucket,hive_object_s3prefix,hive_object_partition_columns,hive_object_creation_date,hive_object_last_access_date,hive_object_last_accessed_num_of_days_ago,hive_object_s3prefix_last_modified_dt,hive_object_s3prefix_last_modified_num_of_days_ago,hive_object_access_status,hive_object_distinct_users_accessed_in_last_90_days,hive_object_write_iam_roles,s3bucket,s3prefix,s3prefix_data_size_gb,s3prefix_sub_classification,s3prefix_last_modified_dt,s3prefix_last_modified_num_of_days_ago,s3prefix_access_status,s3prefix_write_iam_roles
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikebi-managed,prod/ck/stg_gck_common/pre_stg_ltd_fytd_bkp/pre_agg_user_experience_ltd_fytd_2023-06-04/experience_name=nrc/record_type=weekly/_temporary/0/_temporary/attempt_20191202054218_0010_m_000003_4,0.07,prod,2023-06-17,216,Inactive,"CDEAYOPWG, GCKengineering, GCKengineeringWG"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--reliability-operations--prod--us-east-1,R6SH7-84RFL-GQQ8S-CW6MF-W5RWR/2020-03-09/09/23.60.91.12,0.01,prod,2020-03-09,1411,Inactive,"QualityAnalyticsWG, QualityAnalytics"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikeplus-ngap-prod,modelName=searchrel_v0/runDt=2023-11-09/PowerNet_Multilingual/stepId=2769002/wrapper/com_Faiss_SC_language_recall/fr,0.04,prod,2023-11-10,70,Active,"NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikeplus-ngap-prod,modelName=searchrel_v0/runDt=2024-01-08/LimitlessEdge/stepId=3006590/wrapper/app_Faiss_SC_language_recall/zh-Hant,0.01,prod,2024-01-09,10,Active,"NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-ingress-east,cde/prod/archive/urban-airship/SEND/2019_11_14/9Zoc5m6PQd6P1GaVjKYkhQ,2.51,prod,2019-11-15,1526,Inactive,"CDEAYOPWG, GCKengineering, Alpha, GCKengineeringWG, RDFengineeringWG, RDFengineering"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/dev_indiv_lookup/20161108/logs/j-23GPMZUK59XT1/containers/application_1478641181569_0006/container_1478641181569_0006_01_009684,0.02,prod,2016-11-09,2627,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikeplus-ngap-test,modelName=more_browse/runDt=2023-11-02/browse_data_prep/stepId=2739027/data/prep_browse_data_app_sdf,74.79,prod,2023-11-03,77,Active,"NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--marketplace-ops-analytics--prod--us-east-1,dev/integrated/open_demand/71,0.01,non_prod,2023-11-09,71,Active,GlobalSupplyChain
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikeplus-ngap-prod,modelName=searchrel_v0/runDt=2023-10-19/GlobalAthlete/stepId=2683008/wrapper/app_Faiss_SC/lu_en-GB,0.03,prod,2023-10-20,91,Inactive,"NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity_metric_summary/20180329/logs/j-1GFNQDXMG862C/em/raw,0.51,prod,2018-03-29,2122,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_tcomm_unica_token_and_firstname_load/20170628/logs/j-3HZMA3XS5DPFJ/em/raw,0.01,prod,2017-06-28,2396,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikeplus-ngap-prod,searchmetadata/valid_model_weight/modelName=searchrel_v0/runDt=2023-10-08/LimitlessEdge/stepId=2637800/wrapper/app_Faiss_SC__2023-10-09-19-00/lu_en-GB,0.03,prod,2023-10-10,101,Inactive,"NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity_summary/20160720/logs/j-RBCM8BA18VUP/containers/application_1469034574377_0002/container_1469034574377_0002_03_055606,0.01,prod,2016-07-20,2739,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-stage,prod/ck/omega/adhoc/offer_sub/results/emea_ya_platform_0320_v2es_20190321112002,0.01,prod,2019-03-21,1765,Inactive,"GCKengineering, GCKengineeringWG"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity_summary/20160531/logs/j-1FF4GA476SILM/containers/application_1464668997063_0001/container_1464668997063_0001_01_049003,0.01,prod,2016-05-31,2789,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity_summary/20160716/logs/j-NXB6A6EL7LKG/containers/application_1468652327253_0002/container_1468652327253_0002_01_718613,0.01,prod,2016-07-16,2743,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--fulfillment--prod--us-east-1,qa/curated/Curated_Staging/Delivery_Item/2021-06-07-16:16:22_ASIA_CN,0.13,non_prod,2021-08-05,897,Inactive,"SCinv, RDFengineeringWG, RDFengineering, SCTransportation"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/PROD_rdf_dom_clean_incremental_aggregate/20160323/logs/j-11I4I4U1F1DQ4/hadoop-mapreduce/history/2016/03/23/000000,0.01,prod,2016-03-23,2858,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-secure-managed-east,csengineeringwg/csdw_raw_to_be_processed/swd/case/20210810/01,0.02,prod,2021-08-10,892,Inactive,"CSengineeringWG, CSengineeringWGnonprod"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--reliability-operations--prod--us-east-1,R6SH7-84RFL-GQQ8S-CW6MF-W5RWR/2020-02-23/18/23.62.37.22,0.04,prod,2020-02-23,1426,Inactive,"QualityAnalyticsWG, QualityAnalytics"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity_summary/20160527/logs/j-9942FP9SX0Y1/containers/application_1464322637856_0002/container_1464322637856_0002_01_021611,0.01,prod,2016-05-27,2793,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity_summary/20160726/logs/j-JXSRW1TM31MD/containers/application_1469505960758_0001/container_1469505960758_0001_01_086172,0.01,prod,2016-07-26,2733,Inactive,"RFSengineeringWG, Alpha"
